id_usuario,nombre,username,mail,password,fecha_nacimiento
9,Jeffrey Aguirre,jaguirre1971,jaguirre@yahoo.it,dL1lawrd,2009-05-01
10,Antonio Shaw,ashaw1989,ashaw@icloud.com,qSOfdTgQ,1981-07-03
11,Michael Marshall,mmarshall1982,mmarshall@yahoo.es,JAteLxYq,1948-05-20
12,Steven Sullivan,ssullivan1988,ssullivan@yahoo.com,oSCRZPnt,1979-04-07
13,John Wade,jwade1974,jwade@gmail.com,Uua8Ljit,2007-03-27
19,Bradley Patel,bpatel1980,bpatel@icloud.com,4oeUETEP,1992-06-27
22,Daniel Bentley,dbentley1972,dbentley@yahoo.it,dVk9wNFx,2011-12-16
23,Donna Johnson,djohnson1984,djohnson@yahoo.es,oxf4uFom,1990-05-08
27,Teresa Chavez,tchavez1983,tchavez@hotmail.com,IpPsGbm0,1962-03-04
28,Alexandra Lambert,alambert1984,alambert@icloud.com,YIJMpBq3,1988-01-15
30,Courtney Zuniga,czuniga1995,czuniga@yahoo.es,WD76B8dh,1970-12-29
32,Mitchell Taylor,mtaylor1996,mtaylor@gmail.com,VP7qD9CW,1997-01-10
35,Dwayne Roberts,droberts1966,droberts@yahoo.it,MCaZ9dwb,1949-12-13
36,Leslie Moore,lmoore1966,lmoore@yahoo.com,uLZ8p2nf,2012-07-31
38,Amy Allen,aallen1997,aallen@yahoo.es,JOiUve4K,1974-12-01
40,Jasmine Oconnor,joconnor1986,joconnor@hotmail.com,eUsJ0bIE,1949-08-17
41,Sandra Ballard,sballard2001,sballard@hotmail.com,0cKXBQgM,1967-10-12
44,Heidi Hood,hhood1985,hhood@hotmail.com,wfhYEQHK,1996-06-15
45,Timothy Bryant,tbryant1985,tbryant@hotmail.com,NfUPGTeB,1975-04-03
46,Sherri Smith,ssmith1991,ssmith@hotmail.com,nwS2invN,1991-09-19
47,Jeffrey Brown,jbrown1968,jbrown@gmail.com,rUES9Men,1984-05-01
54,Kyle Mckenzie,kmckenzie1982,kmckenzie@yahoo.it,8unHco8S,1958-03-15
64,Michelle Weber,mweber1962,mweber@yahoo.it,TV912g59,2008-01-10
69,Jonathan Kennedy,jkennedy1987,jkennedy@hotmail.com,Nvxb8bUc,1991-06-17
74,Wendy Smith,wsmith2001,wsmith@yahoo.it,yiEbsYQQ,1948-05-22
76,Richard Doyle,rdoyle1985,rdoyle@gmail.com,6YnIZbGu,1970-03-27
77,Anthony Clark,aclark1972,aclark@yahoo.it,PsFGHSvv,1945-04-20
